id	label	prediction	aggressive_probability	non-aggressive_probability	text
15409		non-aggressive	0.038	0.962	Can I copy and paste todays weather onto tomorrow
15410		non-aggressive	0.115	0.885	Shes gonna be mad that Im late cause I was eating hahaha O
15411		non-aggressive	0.061	0.939	“meghanmatthews This is an awesome room😍 httptco3hN8voiLVa”🙌🙌😍😍
15412		non-aggressive	0.074	0.926	I wonder if I ask my mom if I can stay home Tuesday because my girlfriends coming over  but then again
15413		non-aggressive	0.057	0.943	Happy Birthday LaurrLewis  😊 httptcoLRVsEV9h1M
15414		non-aggressive	0.069	0.931	AllBoutBS Jake1029h absolutely
15415		non-aggressive	0.326	0.674	Your fucking SnapChat story is 100 seconds like can you not ✋😑 httptco8oER6N37ZY
15416		non-aggressive	0.03	0.97	Back in Chicago and the doctor is IN EHallbeck
15417		non-aggressive	0.068	0.932	nickdeanisgay I ❤️ ur twitpic
15418		non-aggressive	0.023	0.977	Im just proud of where I am today 😋
15419		non-aggressive	0.049	0.951	Really looking forward to massage therapy school 👏
15420		non-aggressive	0.065	0.935	MenaceMan1 CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15421		non-aggressive	0.027	0.973	Best thing about this weekend is that I get an extra hour yissssss mplstrek
15422		non-aggressive	0.065	0.935	GRINDTOGRAPHY CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15423		non-aggressive	0.034	0.966	wesbradley httpstcoSgexCLqD00 Check this Program Review awesomeness to be had Follow animationchefs for inspiration flyclose
15424		non-aggressive	0.112	0.888	ZacharyFisher4 macdaddyy42 nfreemon your genuine prostitute httptcot5u1kjIr1k
15425		non-aggressive	0.081	0.919	Coming to EA14 at ACESIllinois  CUMTD can drive you there
15426		non-aggressive	0.063	0.937	people in my French class piss me off so so so so so much 😒
15427		non-aggressive	0.055	0.945	Todays the day I might throw up See you soon ddlovato 😊😘 NEONLIGHTSTOUR
15428		non-aggressive	0.032	0.968	Im at Costco Chicago IL httptcoPNoQSRJbAO
15429		non-aggressive	0.067	0.933	RackedUpJohnny2 I sniff lines off that muh
15430		non-aggressive	0.037	0.963	My wrist hurts so bad 😩
15431		non-aggressive	0.056	0.944	It takes me hours to respond to all the notifications I wake up to Or I just forget about them
15432		non-aggressive	0.353	0.647	Im a fat bitch and idgaf 😘💁👍
15433		non-aggressive	0.029	0.971	ChildMode This Mackinac conversation made my day Thrilled my iphoneography encouraged an actual trip to the island
15434		non-aggressive	0.032	0.968	I wish I didnt have to be here
15435		non-aggressive	0.046	0.954	chrisssystarnes where at
15436		non-aggressive	0.05	0.95	LET THE SUN SHINEE SoHappy
15437		non-aggressive	0.046	0.954	Excuse me I was supposed to have a B minor flat 7 appregio test today
15438		non-aggressive	0.114	0.886	Janeser6 you told them you have five golden globes
15439		non-aggressive	0.077	0.923	RAEdiantBeauty girl you know thats my show
15440		non-aggressive	0.072	0.928	One more class then FINALLY spring break 😍😍😍😍
15441		non-aggressive	0.082	0.918	MakerBotSupport Awesome  thank you
15442		non-aggressive	0.065	0.935	LatrieceMusic CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15443		non-aggressive	0.059	0.941	IvetteS really lmao
15444		non-aggressive	0.108	0.892	Dad told me not to get bangs because they look ugly on me subtle feelinthelove
15445		non-aggressive	0.034	0.966	Starting next week I will not miss not one day of the gym not ifs or buts Frfr summer is around the corner Been slacking
15446		non-aggressive	0.06	0.94	Ju1cEJ YohanGutenberg dirt nasty owned nagel on twitter yesterday httptcoc6ID2o7myw
15447		non-aggressive	0.327	0.673	I dont have to cut my hair all the way off cuz my mom asked Brenda if she like me with my hair n she said yeah 😏😊😊😊 just finna get a lining
15448		non-aggressive	0.032	0.968	Good luck to IlliniHoops today Lets get a W boys illini B1G
15449		non-aggressive	0.067	0.933	iMeenbusiness GoodMorning
15450		non-aggressive	0.074	0.926	TiffSniff17 I do Im hiding on the floor because my brother tries acting like my dad and yells at me when I dont go to school 😒😒😒😡😡😡
15451		non-aggressive	0.071	0.929	I think I have a stalker
15452		non-aggressive	0.07	0.93	Damn its Steve Wilkos not jerry springer 😒
15453		non-aggressive	0.073	0.927	BigDDow watch it on your phone
15454		non-aggressive	0.073	0.927	Im disappointed that I accidentally bought myself a diet pop 😒
15455		non-aggressive	0.038	0.962	Best dream of my life
15456		non-aggressive	0.041	0.959	Beauty is only beauty when its effortless
15457		non-aggressive	0.05	0.95	mag314 still time to do laundry
15458		non-aggressive	0.018	0.982	I swear when I was a kid 20 dollars felt like a couple hundred now its feel like a dollar
15459		non-aggressive	0.067	0.933	Happy sweat day to me 💪 fitfam fitnation birthday  XSport Fitness Express httptcomgSq3soLYF
15460		non-aggressive	0.069	0.931	MrG talks mucho
15461		non-aggressive	0.016	0.984	Id go to match madness but my arm wont reach a 90 degree angle so nah
15462		non-aggressive	0.023	0.977	Aww yay 💜 RT elizabethannev Trip to Chicago is BOOKED April 25th cant come soon enough stefaulicino KittyMarieBell ginamariec87
15463		non-aggressive	0.065	0.935	DrewReigns CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15464		non-aggressive	0.035	0.965	SimplyA maybe its the same 20 people in every city 😂
15465		non-aggressive	0.021	0.979	Im so hot right now I feel like puking amp my head hurts  Kms
15466		non-aggressive	0.037	0.963	What if I go to UNLV that would surprises the world
15467		non-aggressive	0.045	0.955	Deborah Kane from USDA F2S program gets audience up to stretch GFFChi LetsMove
15468		non-aggressive	0.039	0.961	Im getting out to enjoy this beautiful day before the snow comes back
15469		non-aggressive	0.051	0.949	I just cant get behind using messenger apps on my phone Thats why they have texting
15470		non-aggressive	0.048	0.952	ZURB 5 tips on creating a killer style guide to ensure your product is telling a consistent story  httptcolUj46hfXJx  tomkersten
15471		non-aggressive	0.037	0.963	Spring break starts today httptco3gpMeFygIf
15472		non-aggressive	0.04	0.96	CRadtke07 I keep having dreams Im being attacked by zombies cuz of watching the walking dead before bed Our brains are so weird 😂😂
15473		non-aggressive	0.065	0.935	SenyoDaGreat CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15474		non-aggressive	0.27	0.73	Never smoking before a soccer game again Idk how Kat does that shit
15475		non-aggressive	0.027	0.973	In one month I have almost drove the whole stretch of I75 Mackinaw and to Florida Holy restlessness wanderlust
15476		non-aggressive	0.042	0.958	imperviouslady whats wrong and who do I have to hurt
15477		non-aggressive	0.137	0.863	I dont even want you i juat dont want to see you with someone else conflicted
15478		non-aggressive	0.194	0.806	climbed up in the game your a lame I can tell you signed up for the fame dizzy
15479		non-aggressive	0.114	0.886	allstar219 Emo82Munoz Lmfao ur gonna need it cuz its hard to kill a bull wit a pistol
15480		non-aggressive	0.043	0.957	Beautiful Day In the Windy City httptcoGKh0ajfURB
15481		non-aggressive	0.034	0.966	I have zero motivation to do homework amp study 😑🚫📚
15482		non-aggressive	0.022	0.978	So in 3 days Ill be in 80 degree Florida weather☀️😏😉
15483		non-aggressive	0.12	0.88	TrevorFox5 NOO Ill miss you Will hoist a green beer in your honor
15484		non-aggressive	0.024	0.976	One of the many pics from last night Probably my favorite one httptcoeJmZENXdWO
15485		non-aggressive	0.061	0.939	rerelaflare23 where And why you go to Austin
15486		non-aggressive	0.047	0.953	IM lost I didnt do nothing
15487		non-aggressive	0.065	0.935	Just4Youu CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15488		non-aggressive	0.03	0.97	There will also be a shuttle bus from parking lot E14 its free located by the assembly hall  E14 is by First and Kirby EA14
15489		non-aggressive	0.073	0.927	TiffSniff17 Im watching doc mcstuffins 🙈🙊 httptcoxkZWZilGrZ
15490		non-aggressive	0.011	0.989	Attempting gluten free lasagna tonight Brian is awesome for supporting my crazy kitchen concoctions I love cooking amp he loves eating Ha
15491		non-aggressive	0.035	0.965	fureousangel balmy 48F and sunny got my rainbows ready httptcojhY2c9xI1j
15492		non-aggressive	0.062	0.938	BBurke25 BobbyShatkus some things are better left not knowing brad
15493		non-aggressive	0.027	0.973	On our way to Nashville See you at the Opry tomorrow blakeshelton  👍✋🎤
15494		non-aggressive	0.04	0.96	The best time to wear a striped sweater is everyday cause Bridget
15495		non-aggressive	0.088	0.912	JPriest10 JMcCunn2 lstew48  WEIRD 😂😂 sorry jay
15496		non-aggressive	0.07	0.93	Fuuuuuuuuuuuuuuuuuuuuuck
15497		non-aggressive	0.038	0.962	Shades on top back Rollin with the music jacked
15498		non-aggressive	0.014	0.986	I didnt want to play volleyball in college but I miss it so much😥
15499		non-aggressive	0.078	0.922	fitkase what are you training today 😈
15500		non-aggressive	0.065	0.935	ImOneYoung CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15501		non-aggressive	0.049	0.951	Time to get ready for work😁😁😂😂
15502		non-aggressive	0.071	0.929	SkinnyMinnieHH you coming home today 😧😧
15503		non-aggressive	0.044	0.956	TiffSniff17 its so cold in there like Antarctica or something 😰
15504		non-aggressive	0.029	0.971	Attack Of The Fan Boys Part 1
15505		non-aggressive	0.016	0.984	I swear when I tried giving Ruben that pass I saw him moving at 50mph but he was running normal speed It was weird lmao
15506		non-aggressive	0.056	0.944	FLAGALine isnt coming to Michigan😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
15507		non-aggressive	0.043	0.957	Were super pumped to be able to bring Textizen to the ChicagoDCASE Cultural Expo httptcoUe88UThrIi
15508		non-aggressive	0.238	0.762	ASavage628 nigga u r always nice
15509		non-aggressive	0.061	0.939	“YourLADYBUG LB✈️🎀 amp VonnaG😈😽 vonnaaa httptcoIVu5jyHalG”😘✊😈
15510		non-aggressive	0.065	0.935	CarterWisdom CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15511		non-aggressive	0.044	0.956	My dad just turned down my sushi lunch date rude
15512		non-aggressive	0.026	0.974	I love my iPhone ❤️
15513		non-aggressive	0.053	0.947	Back to square one
15514		non-aggressive	0.036	0.964	ht to petersagal  thanks to him Im making sure to check out XocoChicago and FronteraGrill while in Chicago
15515		non-aggressive	0.065	0.935	TrakStarBeats CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15516		non-aggressive	0.05	0.95	Dcurry3Darryl11 Thanks Bro Yall Won the other night
15517		non-aggressive	0.103	0.897	VegazTae Im gonna get at u on FB
15518		non-aggressive	0.043	0.957	Pie for breakfast Thanks rustictart HappyPiDay httptcojJgv93pRem
15519		non-aggressive	0.03	0.97	they celebrate the 22nd of July unless theyre contrarians and celebrate June 28th laurieskelly
15520		non-aggressive	0.168	0.832	The more attention you give them the more options they seek
15521		non-aggressive	0.233	0.767	Taylor Doin too muchhh  shit irra
15522		non-aggressive	0.041	0.959	rerelaflare23 good luck
15523		non-aggressive	0.156	0.844	animationchefs you have inspired me  Loved your work with Miso in Rwanda
15524		non-aggressive	0.087	0.913	Props to spielman all these moves actually make since and are solidifying the defense still worried about linebacker situation
15525		non-aggressive	0.081	0.919	WineMaker DennisDunham OliverWinery talking us through VineSeries httptcomYcRtK2ydW
15526		non-aggressive	0.101	0.899	My dog has me wrapped around her finger and she knows it
15527		non-aggressive	0.037	0.963	Shauneexoxo okay  that sounds hella good rn lmao  cant wait  want me to just pick you up once I get there
15528		non-aggressive	0.06	0.94	bluemcdowell Well said
15529		non-aggressive	0.065	0.935	Gottaloveeme CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15530		non-aggressive	0.097	0.903	You know its real when one of your best friends unfollows you The age of technology is a cruel mistress
15531		non-aggressive	0.02	0.98	My life will be so much better after about 130 bc then its the weekend amp I dont have to care about homework until Sunday afternoon😁
15532		non-aggressive	0.068	0.932	Fixing more stuff  Faith Community Center  fcmlafayette httptcohQBxvDxfY5
15533		non-aggressive	0.361	0.639	Not having your Daddy in your life  aw man that shit hurt
15534		non-aggressive	0.078	0.922	Ion Even Feel Lik Being Here
15535		non-aggressive	0.077	0.923	Im gonna marry Eminem one day 😍😘💕💗💋
15536		non-aggressive	0.069	0.931	NellaKillshit lmaooo
15537		non-aggressive	0.043	0.957	I used to be friends with everyonenow Im completely antisocial What is wrong with me lol
15538		non-aggressive	0.03	0.97	All this coughing is doing work on my abs
15539		non-aggressive	0.122	0.878	TiffSniff17 yeah seriously Anayah loves that shit Lmaoo and Mickey Mouse and caillou n its ok cause I love that shit too😂🙊
15540		non-aggressive	0.065	0.935	LionDenENT CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15541		non-aggressive	0.068	0.932	allstar219 Emo82Munoz Lmfao
15542		non-aggressive	0.037	0.963	A good and constructive discussion with RahmEmanuel on IrelandChicago digital and tech links seansherlocktd httptcoQNB190ifaC
15543		non-aggressive	0.05	0.95	Breakfast this morning ❤️🍎 httptcoviTogUwpi3
15544		non-aggressive	0.17	0.83	ashtrays and heartbreaks is my shit lately ✌️🎶 lyricsthatneedtobeshouted
15545		non-aggressive	0.022	0.978	24 hours man Just 24 more to go
15546		non-aggressive	0.171	0.829	i fucking hate staying home i cant do anything or talk to anyone
15547		non-aggressive	0.069	0.931	angxxx3 musta been the sandwhich
15548		non-aggressive	0.049	0.951	iHop This Morning Yuuuuum
15549		non-aggressive	0.05	0.95	Where did these tears come from 😳😒
15550		non-aggressive	0.037	0.963	I like to drink beer while playing left 4 dead
15551		non-aggressive	0.028	0.972	Happy Π day to all of my gorgeous AOΠ sisters everywhere ALAM PiDay 🌹
15552		non-aggressive	0.049	0.951	IACPculinary iacp36 waiting for Moto tour httptcox9u9CEtBFx
15553		non-aggressive	0.065	0.935	THEREALESMITTY CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15554		non-aggressive	0.063	0.937	simplienatural yeah I was kinda close Like no one was dancing or anything though it was weird
