id	label	prediction	aggressive_probability	non-aggressive_probability	text
14878		non-aggressive	0.099	0.901	These next 19 days are going to be soo fucking long getmeoutofhere
14879		non-aggressive	0.161	0.839	FUCK LOVE IM TIED OF TRYING 💯
14880		non-aggressive	0.055	0.945	I text like 2 people 😂
14881		non-aggressive	0.038	0.962	Howsito And finally hit up one of many restaurants for some Chicago deep dish pizza Cant go wrong with that yo
14882		non-aggressive	0.064	0.936	that concert was dope af
14883		non-aggressive	0.081	0.919	Christianxmb not50 dats some im talk to em
14884		non-aggressive	0.176	0.824	GolazoDeUnzi MonchiC8 if you can hmu when you leave your house
14885		non-aggressive	0.075	0.925	Really tryna so something about this little bitty booty yall 😂😩😕 httptcoovuif6MFpg
14886		non-aggressive	0.057	0.943	Just posted a photo  Chi Tung Restaurant httptcoYYJKxj9OAJ
14887		non-aggressive	0.077	0.923	KarissCannabis you already at work
14888		non-aggressive	0.042	0.958	I wont give in
14889		non-aggressive	0.069	0.931	SamDunlevy Wonderful Samuel
14890		non-aggressive	0.068	0.932	Happy bowtiefriday everyone bowtie neckwear menswear skullcrissbones harristweed briarandmoss… httptcoFDZvIe9bhK
14891		non-aggressive	0.047	0.953	Beyonce jam sessions are always the best
14892		non-aggressive	0.044	0.956	SydneyMarieHerm dad said we can play after the concert tomorrow
14893		non-aggressive	0.075	0.925	cock and balls
14894		non-aggressive	0.082	0.918	Serratosx23 then hes fucked haha damn so they out of the playoffs
14895		non-aggressive	0.065	0.935	My sister is having a better Friday than me Baking with her best friend
14896		non-aggressive	0.065	0.935	Judgmental fckers irri asl
14897		non-aggressive	0.014	0.986	Im at Chicago OHare International Airport ORD Chicago IL w 245 others httptcoZgRy5L09d4
14898		non-aggressive	0.018	0.982	Im at JoesBar on Weed St for Turnpike Troubadours with American Aquarium Chicago IL httptconL1ULG28ZV
14899		non-aggressive	0.066	0.934	Sweet Lou
14900		non-aggressive	0.035	0.965	JustWinTP I am familiar with the works of Pablo Neruda
14901		non-aggressive	0.172	0.828	ass and titties
14902		non-aggressive	0.022	0.978	Scared dupuiej by sneaking up on him in my poncho 👻 pussy thanksdakurri
14903		non-aggressive	0.063	0.937	Own the thrown KatyPerry perfume
14904		non-aggressive	0.11	0.89	I hate having a cold 💉😒💭
14905		non-aggressive	0.062	0.938	crying bc RumorAcoustic 😻 httptcoWa8kad3r43
14906		non-aggressive	0.071	0.929	xxJazmineee Seriously
14907		non-aggressive	0.041	0.959	We was taking this dodgeball thing serious
14908		non-aggressive	0.245	0.755	1Bryce fuck Ill keep you posted
14909		non-aggressive	0.045	0.955	Seriously wish I could breathe out of my nose
14910		non-aggressive	0.089	0.911	Are you the oldest in your family LandonLillmars  No my parents are the oldest RileyBasinger
14911		non-aggressive	0.023	0.977	Ronnie2K what was the reward for winning 5 online games on myTEAM
14912		non-aggressive	0.026	0.974	“kfvsnews Beware of dirty Mardi Gras beads  httptcoxaq6gRX9oX” As a germ freak I feel its important that the people know
14913		non-aggressive	0.083	0.917	I wonder how many people actually think before they speak
14914		non-aggressive	0.071	0.929	morgnorth everyone httptcoykFIjTOw9j
14915		non-aggressive	0.079	0.921	Buckle up children were going for a ride💺🚗🚘🚙🚕💨 madalynpriddy
14916		non-aggressive	0.048	0.952	i wanna go homeee
14917		non-aggressive	0.068	0.932	GlamLifestyle hurry 😔
14918		non-aggressive	0.045	0.955	KayleeCarlen KyleeAlterman my in matching sock😂😂😂😂
14919		non-aggressive	0.035	0.965	WhiskeyBoots carlynnegiv Hey Alison Thank you very much for asking me Absolutely Ill be happy to help Can I DM her the info Thanks
14920		non-aggressive	0.062	0.938	janeiperks hey beautiful
14921		non-aggressive	0.024	0.976	I need some good food
14922		non-aggressive	0.089	0.911	Im wild and I cant be tamed 💜💋
14923		non-aggressive	0.143	0.857	I just walk past sum lil kids they talm bout they finna go beat somebody ass lol
14924		non-aggressive	0.121	0.879	evaissleib I wanna be your first tweet
14925		non-aggressive	0.079	0.921	ursulagdc omg i hv the same chemistry class with u
14926		non-aggressive	0.076	0.924	I want to get into the pool to help these kids become better than me
14927		non-aggressive	0.035	0.965	I took a picture of my work schedule and its gone Wtf
14928		aggressive	0.577	0.423	Dont say shit if u DONT know wtf u tlkn bout
14929		non-aggressive	0.079	0.921	Im in such a wonderful mood 🌞
14930		non-aggressive	0.186	0.814	ewwww I cant stand this weather its gonna fuck up tomorrow jus watch
14931		non-aggressive	0.07	0.93	JimmyZak89 babbbbbyyyyyyy        😍😘☺️
14932		non-aggressive	0.048	0.952	Richardisfresh6 nahh bruh no chest shots every bullet to the head
14933		non-aggressive	0.064	0.936	I picked the space with the most room to dance around bfashow httptcozwvP6QhbEi
14934		non-aggressive	0.057	0.943	Up just hit me right in the feels
14935		non-aggressive	0.072	0.928	coffee pop tarts wheel chair lifes necessities
14936		non-aggressive	0.102	0.898	vincevaughn please follow me 🙏
14937		non-aggressive	0.038	0.962	I need a haircut and my bed
14938		non-aggressive	0.045	0.955	Its a cold one in Chicago Enjoying it nonetheless
14939		non-aggressive	0.07	0.93	Nuff sed
14940		non-aggressive	0.085	0.915	cuz youre the cigarette and Im the smoker we raise a bet cuz youre the joker🎶
14941		non-aggressive	0.013	0.987	I hear the USMC went back to sleevesup  Poor boots will have to hear more lame back in my day stories about this from other boots
14942		non-aggressive	0.036	0.964	“LCHSGuidance LAKE CENTRAL Bittersweet httptcoxaPDsPfcEO” whoa the high school is basically dead now guyz Crazy
14943		non-aggressive	0.113	0.887	im only doin this cuz them shoes free😂😂
14944		non-aggressive	0.105	0.895	Not for me to put them down
14945		non-aggressive	0.012	0.988	One night we had no ride home amp we had to walk like 2 miles in like 30 minutes before my parents got home lmfao it was such a struggle😂
14946		non-aggressive	0.109	0.891	nicolewitt96 I know I can be mean but my statements are broad and if they apply to you thats your fault
14947		non-aggressive	0.031	0.969	“BREAKING Curie High School must forfeit wins and give up city title after players ruled academically ineligible why am I not surprised
14948		non-aggressive	0.063	0.937	If you only text me lol I wont respond Clearly youre not interested in talking so why should I
14949		non-aggressive	0.079	0.921	GeeGee022 JZEUS56 JetlifeRuiz cause this is a phone number huh httptcoCSuKAbt4Ad
14950		non-aggressive	0.06	0.94	Love that Fen wants to be a lawyer like his dad YR
14951		non-aggressive	0.014	0.986	Now I know how the girls on gonewild feel waiting for upvotes BECAUSE IVE BEEN WAITING TWO HOURS FOR U 2 CHECK INSTAGRAM therealsamkeen
14952		non-aggressive	0.04	0.96	AYBAYBAAY good Now lets make it Thursday Fridays and Saturdays
14953		non-aggressive	0.042	0.958	Im totally ready for some White Sox baseball Cause good guys wear black ⚾️
14954		non-aggressive	0.012	0.988	Im at Subterranean  subtchicago for Neck Deep and Light Years Chicago IL w 5 others httptcoc3xMcq11hz
14955		non-aggressive	0.015	0.985	RubyRubypatel actually thats wrong I have to go to work on Friday night
14956		non-aggressive	0.025	0.975	I just want to go racing already😫😫😫
14957		non-aggressive	0.036	0.964	I want someone to text
14958		non-aggressive	0.044	0.956	JeanaKieft I know 🙊
14959		non-aggressive	0.273	0.727	Still dont trust you
14960		non-aggressive	0.074	0.926	I thought trust funds last forever  celestemoody everybody
14961		non-aggressive	0.033	0.967	taken by the best💕 Jshawtygetlo
14962		non-aggressive	0.042	0.958	Man oh man All Im saying is I aint wearing no maskand ladies is it too cold for beads tonight … httptcoUfPKwKGRI0
14963		non-aggressive	0.055	0.945	We walked far asf in a short time amp it was really hot out wow
14964		non-aggressive	0.079	0.921	This summer finna be OC AF
14965		non-aggressive	0.062	0.938	This LAN party is about to pop off
14966		non-aggressive	0.032	0.968	Im at Firecat Projects Chicago IL httptcoBH54oSFinI
14967		non-aggressive	0.039	0.961	davidbowieUB40 its OK now that were out east  Good for himinstant contender
14968		non-aggressive	0.03	0.97	Dmarble18 tell him to come scoop me from champaign lol
14969		non-aggressive	0.02	0.98	So ya know how everyone in buffalo is upset about miller Think of the abuse Im getting from all my friends in STL Its cringe worthy 😭😭
14970		non-aggressive	0.064	0.936	I want all you can eat sushi As always
14971		non-aggressive	0.07	0.93	Sunhat all 4 u BATHSmusic httptcoSFaXpPKdR7
14972		non-aggressive	0.058	0.942	How is pop out even on the radio Terrible song
14973		non-aggressive	0.065	0.935	I dance like an idiot in front of the mirror when I get bored
14974		non-aggressive	0.024	0.976	Finally got to tell my dad the good news goodvibes 👌😊🎉 httptco6HLW84SZ6t
14975		non-aggressive	0.055	0.945	This new Ross album though gtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgt
14976		non-aggressive	0.094	0.906	Like haymaker style
14977		non-aggressive	0.044	0.956	“BigAssAddicts Wife her httptcoR1qbXVrGvt”bruh I need it 🙈
14978		non-aggressive	0.042	0.958	Kinda interested in wanting to know who will join Water Polo this year
14979		non-aggressive	0.07	0.93	I just want you to dance with me tonight 🎶
14980		non-aggressive	0.049	0.951	Friday is getting dirty  Gibsons Bar amp Steakhouse httptcoAkl4Iesv9H
14981		non-aggressive	0.082	0.918	Buying a half drinking some beer
14982		non-aggressive	0.03	0.97	I tried to change But nah  Back 10x worst
14983		non-aggressive	0.138	0.862	Well that pissed me off
14984		non-aggressive	0.413	0.587	Doing a poster during English and Sandra and Isaiah would be throwing shit at my ass😂 Isaiah would say damn youre thick with a big ass 😂
14985		non-aggressive	0.053	0.947	Apparently every guy in here is heading out downtown tonight Why else would everyone be blasting their arms httptconNTW3DPNI5
14986		non-aggressive	0.022	0.978	I always know lukes house by the green light lol
14987		non-aggressive	0.045	0.955	My old avi StopBeingSober RT Chrises77o7 “WhoKR This is deep httptcoBXaZQyWvB7” Knowledge shines light on the lies of society
14988		non-aggressive	0.052	0.948	FA gods lmao
14989		non-aggressive	0.112	0.888	“FAWKItUpDoe I want somebody whos gone ask me baby how was your day”
14990		non-aggressive	0.061	0.939	That nap was prime
14991		non-aggressive	0.039	0.961	Girls District 29 title OC 49 South 43 104 4th loubb
14992		non-aggressive	0.051	0.949	Fight night with my daddy👊 BellatorsBack👌💙
14993		non-aggressive	0.078	0.922	Im not a playa I just crush a lot
14994		non-aggressive	0.106	0.894	Its not about living up to a standard its about making God become your standard Stormie Omartian powerofaprayingwoman
14995		non-aggressive	0.111	0.889	buttaLOVE my nigga my nigga
14996		non-aggressive	0.036	0.964	Let the night begin😝
14997		non-aggressive	0.213	0.787	I hope we dont get a lot of snow shit I wish we werent getting any ❄️🚫
14998		non-aggressive	0.113	0.887	You made me believe again thank you
14999		non-aggressive	0.101	0.899	NattieVan1234 how do u know Preston
15000		aggressive	0.788	0.212	iralc ayy i see some drama brewing up  Fr Im tired of their bitch ass complaining about petty shit
15001		non-aggressive	0.043	0.957	lol is Fen gonna join The Path MaxEhrich
15002		non-aggressive	0.021	0.979	I wish I couldve went to Cali today
15003		non-aggressive	0.031	0.969	dreamoframen SHES SO BAD AT IT
15004		non-aggressive	0.053	0.947	Nothing like some Chicago Deep Dish pizza from Lou Malnatis
15005		non-aggressive	0.067	0.933	Word on the street is Im a suspect
15006		non-aggressive	0.083	0.917	JZEUS56 GeeGee022 JetlifeRuiz exactly I texted you httptcolwZtdFNERQ
15007		non-aggressive	0.098	0.902	If I gave Pudge tuna Id be an abomination
15008		non-aggressive	0.063	0.937	Any fa gods
15009		non-aggressive	0.017	0.983	Chicago has had below freezing temps 79 percent of this winter
15010		non-aggressive	0.029	0.971	So thankful for being in Chicago glad Im finally home ☺
15011		non-aggressive	0.08	0.92	PrincessPoopie why Down yourself
15012		non-aggressive	0.046	0.954	SquadFresh love fam
15013		non-aggressive	0.066	0.934	Iced apple ciderlt3  Bridgeport Coffee Company  bridgeportcoff httptcoU6X0NjXucI
15014		non-aggressive	0.083	0.917	Cant wife her if she doesnt plan on traveling the world 😏
15015		non-aggressive	0.042	0.958	The reason I live 😍😘 littlebrother httptcoADYKYX4Mm4
15016		non-aggressive	0.105	0.895	SkyFineAss quote with your most recent selfie 👀 httptcoXPpGvjhl0Q
15017		non-aggressive	0.052	0.948	“GreatFriendzone President of the friendzone httptco1jKZZKuLyM”👏
15018		non-aggressive	0.042	0.958	Pigs are so cute 🐷❤️
15019		non-aggressive	0.02	0.98	Can I write in Adam Bakri OMAR for best actor Man that was a gripping movie and hes genius
15020		non-aggressive	0.041	0.959	Fortunes have changed  the half CometWBB leads Gull Lake 2013 GoComets
15021		non-aggressive	0.087	0.913	JacobWhitesides so you comin to see me httptcobPXpEWDaMh
15022		non-aggressive	0.057	0.943	tumbling tonight yeeee 👌 MaarCaar
15023		non-aggressive	0.1	0.9	Lmfao MotivayShan I cant do the poppin out in Gary when people come to town Folks act like they not use to shiii Cant deal
15024		non-aggressive	0.032	0.968	is it bad that I mentally prepare myself for the worst
15025		non-aggressive	0.098	0.902	JZEUS56 GeeGee022 JetlifeRuiz It wont even send to your number
15026		non-aggressive	0.048	0.952	David lynch explaining everything hes ever made httptcoB5u2cSF7Lr
15027		non-aggressive	0.069	0.931	He cute
15028		non-aggressive	0.023	0.977	So many memories Im glad to be a Belieber and to have been here since 2009 I will always love and support him forever httptcoBY4tnUIFUX
15029		non-aggressive	0.27	0.73	I should go fuck with slop nem but i aint tryna stand outside
15030		non-aggressive	0.058	0.942	Pumped about this second job 👍 fyea
15031		non-aggressive	0.023	0.977	fitnessformula 12of12 in Feb Looking forward to getting my free T Whoopwhoop  Fitness Formula Club FFC httptcoduWjEbbrsd
15032		non-aggressive	0.119	0.881	“EyeriMaxim “SassyGirI Android users be like httptco4iLXnHrS9i” 👏👏👏”  💺👈😐
15033		non-aggressive	0.032	0.968	Biggest play of the last minute was Kasey Wernert blocking a Sydney Jones 3 in the corner
15034		non-aggressive	0.09	0.91	I cant wait till play all next year  I swear they aint ready  Star 🏀🏀 ballislife
15035		non-aggressive	0.034	0.966	At least my grandma is doing better 😊👵💛
15036		non-aggressive	0.081	0.919	catssoqt love you more
15037		non-aggressive	0.06	0.94	Im so blessed
15038		non-aggressive	0.035	0.965	Bitter drink with lapsang souchong Thanks for the tea menu tip worldoftea  The Violet Hour httptcoDHsAejrQ5a
15039		non-aggressive	0.126	0.874	Dmarble18 you drunk 😂😭 its a difference between broke and cheap
